DENOM_CIA,CNPJ_CIA,ANO,ROA,LC,CTPT,ME,ML,Macro
CPFL ENERGIAS RENOVÁVEIS S.A.,08.439.659/0001-50,2012,0.0017392314908513612,0.7409960175071961,0.44862757062710024,2.0904559144251738,0.2870149202063212,
CPFL GERACAO DE ENERGIA S.A.,03.953.509/0001-47,2012,0.06914462418080126,3.6545272962790833,0.7988312879361438,1.0879823182229134,0.595667134128963,
CRUZEIRO DO SUL EDUCACIONAL S.A.,62.984.091/0001-02,2012,,,,,,
CSN MINERAÇÃO S.A.,08.902.291/0001-15,2012,,,,,,
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,06.981.381/0001-13,2012,,,,,,
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,02.998.611/0001-04,2012,0.10550770567446902,2.1007294772629748,0.5742813933201135,0.6947605208977606,0.4466605098833318,
CURY CONSTRUTORA E INCORPORADORA S.A.,08.797.760/0001-83,2012,,,,,,
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,10.760.260/0001-19,2012,0.01175244828063762,1.0924667826131438,7.124610695430894,0.29633711140063135,0.03452271217512655,
CVLB BRASIL S.A.,16.233.389/0001-55,2012,,,,,,
CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73.178.600/0001-18,2012,0.07930310600268009,0.28031807744310455,0.6444005421305826,353.14163090128756,283.325321888412,
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,12.108.897/0001-50,2012,,,,,,
DESKTOP S.A.,08.170.849/0001-15,2012,,,,,,
DEXCO S.A.,97.837.181/0001-47,2012,,,,,,
DIAGNOSTICOS DA AMERICA S.A.,61.486.650/0001-83,2012,0.020992211700215882,2.120210908672324,0.5567943194939409,0.2035608594996572,0.05339095753014804,
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,92.665.611/0001-77,2012,0.09524685728844198,1.7017497408373086,1.116747988358158,0.05055056011673575,0.031045830249401392,
DIRECIONAL ENGENHARIA S.A.,16.614.075/0001-00,2012,0.13784320991813495,0.9271504339440695,0.22934852017180826,85.42117930204573,90.26795026073005,
DOTZ S.A.,18.174.270/0001-84,2012,,,,,,
DURATEX S.A.,97.837.181/0001-47,2012,0.06627157730354034,1.7468401787982768,0.7238661078248877,0.2725984191798617,0.14150965488426095,
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,08.873.873/0001-10,2012,0.27452150852818114,8.019825812945863,1.0483923129948525,4.424282044014519,3.9902992511863076,
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,04.149.454/0001-80,2012,0.15626612839330287,0.7820133078662066,0.2815585297991626,inf,inf,
EDP - ENERGIAS DO BRASIL S.A.,03.983.431/0001-03,2012,0.06546385302881744,2.2465932246561384,0.16926236679547146,209.24704558244233,192.25886325267305,
ELECTRO ACO ALTONA S.A.,82.643.537/0001-34,2012,0.03030803729493686,1.5967226061204343,3.0255606233371344,0.1401435388474451,0.04191900230162746,
ELETROMIDIA S.A.,09.347.516/0001-81,2012,,,,,,
ELETRORIVER S.A.,01.968.293/0001-68,2012,,,,,,
EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,02.302.101/0001-42,2012,-0.11773846049722511,2.808384233300405,0.6451768548417028,-0.6087422425204431,-0.7177452165790876,
EMBRAER S.A.,07.689.002/0001-89,2012,0.04143188527095624,1.7050443652852394,1.5293117627305783,0.14283428350459484,0.06820862146136838,
EMPREENDIMENTOS PAGUE MENOS S.A.,06.626.253/0001-51,2012,0.08260503936595916,1.6118469048872113,2.9628239526800413,0.0787487694807647,0.03421520677981442,
ENAUTA PARTICIPAÇÕES S.A.,11.669.021/0001-10,2012,0.03701476137983533,17.877094972067038,8.034843390129351e-05,inf,inf,
ENERGISA S.A.,00.864.214/0001-06,2012,0.11763917252686809,2.9177774131590883,0.6652394615470741,8.546844151350472,5.91156296431988,
ENEVA S.A,04.423.567/0001-21,2012,-0.11947955253575791,0.24726445148636922,0.4175328223313273,-inf,-inf,
ENGIE BRASIL ENERGIA S.A.,02.474.103/0001-19,2012,0.16589444556184174,1.0092710173518207,0.6554155661986781,0.7400128942429064,0.4287112761726685,
ENJOEI S.A.,16.922.038/0001-51,2012,,,,,,
ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.,09.527.023/0001-23,2012,,,,,,
EQUATORIAL ENERGIA S.A.,03.220.438/0001-73,2012,0.05673500593525542,2.7551917480292873,0.14450204731458918,inf,inf,
EUCATEX S.A. INDUSTRIA E COMERCIO,56.643.018/0001-66,2012,0.07803540682530573,0.4008777820414428,0.059794076831444505,0.39291463362732604,0.22125559842080098,
EVEN CONSTRUTORA E INCORPORADORA S.A.,43.470.988/0001-65,2012,0.1020423239780933,0.7205722014436148,0.4234985885264986,3.4659314014741067,2.756375457305625,
EZ TEC EMPREEND. E PARTICIPACOES S.A.,08.312.229/0001-73,2012,0.17883843276574848,0.42205039677518486,0.13601456733433614,inf,inf,
FLEURY S.A.,60.840.055/0001-31,2012,0.038955765609004545,2.7245016082487865,0.603913575644173,0.2126122135823944,0.0730810131841746,
FOZ DO RIO CLARO ENERGIA S.A.,07.823.262/0001-03,2012,,,,,,
FRAS-LE S.A.,88.610.126/0001-29,2012,0.031381448425282746,1.6170195947913633,1.1420144389225966,0.13130027055813326,0.050477659570126794,
GAFISA S.A.,01.545.826/0001-07,2012,-0.019347321593123825,1.2824589285881351,1.5290610665182685,0.07813346855309315,-0.10349631747826231,
GERDAU S.A.,33.611.500/0001-19,2012,0.04508667789084748,1.244060834517972,0.16054788141235554,1.1725148082600343,0.9004540062833257,
GETNINJAS S.A.,14.127.813/0001-51,2012,,,,,,
GOL LINHAS AEREAS INTELIGENTES S.A.,06.164.253/0001-87,2012,-0.5493464661021842,9.223963589183846,2.7580810231050124,-inf,-inf,
GRAZZIOTIN S.A.,92.012.467/0001-70,2012,0.08711030629697998,2.1991560345413808,0.36467552074339554,0.13841428866436947,0.12905158898355867,
GRENDENE S.A.,89.850.341/0001-60,2012,0.19520526440800437,6.503932021358271,0.1256804682810096,0.21194901867680527,0.23852834047152666,
GRUPO DE MODA SOMA S.A.,10.285.590/0001-08,2012,,,,,,
GRUPO MATEUS S.A.,24.990.777/0001-09,2012,,,,,,
GUARARAPES CONFECCOES S.A.,08.402.943/0001-52,2012,0.12859542031995563,4.702467514190552,0.124940194204111,0.5114295341506472,0.44628045698603114,
HAGA S.A. INDUSTRIA E COMERCIO,30.540.991/0001-66,2012,0.23547563740327437,1.1017760692299403,-1.4264855620024521,0.5996830987561798,0.34950441149034156,
HELBOR EMPREENDIMENTOS S.A.,49.263.189/0001-02,2012,0.18528876042230552,1.0413463284702464,0.4149828113799456,39.683571125865235,38.43989264020342,
HIDROVIAS DO BRASIL S.A.,12.648.327/0001-53,2012,-0.0674229962979198,12.910161249040184,0.017249143502984496,-inf,-inf,
HMOBI PARTICIPAÇÕES S.A.,40.159.947/0001-64,2012,,,,,,
HYPERA S.A.,02.932.074/0001-91,2012,0.016802577032926584,2.1311469933098337,0.7669147217839003,0.22301443879786678,0.05203984992858056,
IGUA SANEAMENTO S.A.,08.159.965/0001-33,2012,-0.05601550680027771,5.209728183118741,0.08876373074200623,-1.867911747629185,-1.350687052448229,
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,51.218.147/0001-93,2012,0.08833359073765933,2.91583689254372,0.7126537973912533,1.9563510592304367,1.5463035019455253,
