Denominação Social,CNPJ
METALURGICA GERDAU S.A.,92.690.783/0001-09
METALURGICA RIOSULENSE S.A.,85.778.074/0001-06
METISA METALURGICA TIMBOENSE S.A.,86.375.425/0001-09
MINERVA S.A.,67.620.377/0001-14
MINUPAR PARTICIPACOES S.A.,90.076.886/0001-40
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,07.882.930/0001-65
MOBLY S.A.,31.553.627/0001-01
MOURA DUBEUX ENGENHARIA S/A,12.049.631/0001-84
MOVIDA PARTICIPACOES SA,21.314.559/0001-66
MPM CORPÓREOS S.A.,26.659.061/0001-59
MRV ENGENHARIA E PARTICIPACOES S.A.,08.343.492/0001-20
MULTILASER INDUSTRIAL S.A.,59.717.553/0001-02
MUNDIAL S.A. - PRODUTOS DE CONSUMO,88.610.191/0001-54
NATURA &CO HOLDING S.A.,32.785.497/0001-97
NATURA COSMETICOS S.A.,71.673.990/0001-77
NEOENERGIA S.A.,01.083.200/0001-18
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,51.128.999/0001-90
ODONTOPREV S.A.,58.119.199/0001-51
OMEGA ENERGIA S.A.,42.500.384/0001-51
OSX BRASIL S.A.,09.112.685/0001-32
PADTEC HOLDING S.A.,02.365.069/0001-44
PBG S/A,83.475.913/0001-91
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,18.328.118/0001-09
PETROLEO BRASILEIRO S.A. PETROBRAS,33.000.167/0001-01
PETRORECÔNCAVO S.A.,03.342.704/0001-30
PETTENATI S.A. INDUSTRIA TEXTIL,88.613.658/0001-10
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,24.230.275/0001-80
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,51.928.174/0001-50
POSITIVO TECNOLOGIA S.A.,81.243.735/0001-48
PRINER SERVIÇOS INDUSTRIAIS S.A.,18.593.815/0001-97
PRIO S.A.,10.629.105/0001-68
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,02.291.077/0001-93
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,45.453.214/0001-51
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,11.992.680/0001-93
QUALITY SOFTWARE S.A.,35.791.391/0001-94
RAIA DROGASIL S.A.,61.585.865/0001-51
RAIZEN ENERGIA S.A.,08.070.508/0001-78
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,89.086.144/0001-16
RECRUSUL S.A.,91.333.666/0001-17
REDE ENERGIA PARTICIPAÇÕES S.A.,61.584.140/0001-49
REFINARIA DE PETROLEOS MANGUINHOS S.A.,33.412.081/0001-96
RIO PARANAPANEMA ENERGIA S.A.,02.998.301/0001-81
RNI NEGÓCIOS IMOBILIÁRIOS S.A.,67.010.660/0001-24
ROMI S.A.,56.720.428/0001-63
RUMO S.A.,02.387.241/0001-60
SAFIRA HOLDING S.A.,13.522.948/0001-59
SANSUY S.A. INDUSTRIA DE PLASTICOS,14.807.945/0001-24
SANTOS BRASIL PARTICIPACOES S.A.,02.762.121/0001-04
SAO MARTINHO S.A.,51.466.860/0001-56
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,60.500.139/0001-26
SCHULZ S.A.,84.693.183/0001-68
SER EDUCACIONAL S.A.,04.986.320/0001-13
SIDERURGICA J. L. ALIPERTI S.A.,61.156.931/0001-78
SINQIA S.A.,04.065.791/0001-99
SLC AGRICOLA S.A.,89.096.457/0001-55
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,07.594.978/0001-78
SONDOTECNICA ENGENHARIA SOLOS S.A.,33.386.210/0001-19
SPRINGS GLOBAL PARTICIPACOES S.A.,07.718.269/0001-57
STATKRAFT ENERGIAS RENOVAVEIS S.A.,00.622.416/0001-41
SUL 116 PARTICIPACOES S.A.,01.957.772/0001-89
SUZANO HOLDING S.A.,60.651.809/0001-05
SUZANO S.A.,16.404.287/0001-55
T4F ENTRETENIMENTO S.A.,02.860.694/0001-62
TAURUS ARMAS S.A.,92.781.335/0001-02
TC S.A.,26.345.998/0001-50
TECHNOS S.A.,09.295.063/0001-97
TECNISA S.A.,08.065.557/0001-12
TEGMA GESTAO LOGISTICA S.A.,02.351.144/0001-18
TEGRA INCORPORADORA S.A.,30.213.493/0001-09
TEKNO S.A. - INDUSTRIA E COMERCIO,33.467.572/0001-34
TELEFÔNICA BRASIL S.A,02.558.157/0001-62
TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.,40.337.136/0001-06
TIM S.A.,02.421.421/0001-11
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,07.859.971/0001-30
TRÊS TENTOS AGROINDUSTRIAL S/A,94.813.102/0001-70
TREVISA INVESTIMENTOS S.A.,92.660.570/0001-26
TRISUL S.A.,08.811.643/0001-27
UNICASA INDÚSTRIA DE MÓVEIS S.A.,90.441.460/0001-48
UNIFIQUE TELECOMUNICAÇÕES S.A.,02.255.187/0001-08
UNIPAR CARBOCLORO S.A.,33.958.695/0001-78
USINAS SID DE MINAS GERAIS S.A.-USIMINAS,60.894.730/0001-05
VALE S.A.,33.592.510/0001-54
