DENOM_CIA,CNPJ_CIA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,indice
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,17.281.106/0001-03,0.054147102623820595,0.04439315119093608,0.031329615690008146,-0.0010597752749820627,0.03968523545549891,0.05188715623502177,0.05182715112231261,0.06547948318380484,0.06941324137598008,0.04234038015271889,0.06400753492339849,ROA
CIA SIDERURGICA NACIONAL,33.042.730/0001-04,-0.008952759067163732,0.010454582349062552,-0.002121353441156938,0.035473617824296116,-0.022406887905441025,0.00024245894726506096,0.11934692871827633,0.03992151131246013,0.07132596004816102,0.1979308582102626,0.025394459675538987,ROA
CIA TECIDOS NORTE DE MINAS COTEMINAS,22.677.520/0001-76,-0.08690873647748829,-0.01846836028741542,-0.06968852006238532,-0.07407347462605286,-0.12858727759997443,0.03902729512981543,0.1098877523255362,-0.03750629451719966,-0.14394734908291504,-0.05522663151347187,-0.3445234356760617,ROA
CIA TECIDOS SANTANENSE,21.255.567/0001-89,0.09857360084217266,0.0850410771885801,0.002157956084806099,-0.04964729688616569,-0.00717606584347178,0.03869007781082135,0.11431901930371582,0.01776056731981918,-0.005783445023387913,0.04032885565551686,0.009958956539661121,ROA
CLEAR SALE S.A.,03.802.115/0001-98,,,,,,,,,0.08956616612592955,-0.07602836792600097,-0.04119880164301635,ROA
COGNA EDUCAÇÃO S.A.,02.800.026/0001-40,0.08791746261058,0.19464276563484384,0.07974552840059766,0.10226875671440558,0.12439415194347704,0.11626296466495699,0.08422343368228159,0.009581759871836976,-0.2762083292260885,-0.025537270762368915,-0.0310646975345755,ROA
COMPANHIA BRASILEIRA DE ALUMÍNIO,61.409.892/0001-73,,,,,,,,,-0.08814431138646114,0.06609103529847556,0.07447613185522657,ROA
CONSERVAS ODERICH S.A.,97.191.902/0001-94,0.025048890718716958,0.042102866251102954,0.016299675731042285,-0.0029271167413057082,0.11195549092748308,0.04477701584051893,0.03832358392913026,0.04902753058888491,0.20282745844609304,0.11843738329736478,0.13108049862379562,ROA
CONSTRUTORA ADOLPHO LINDENBERG S.A.,61.022.042/0001-18,0.15523687580025608,0.9056931768796176,0.2599900255595038,0.4110005917326496,0.12,0.1062823116691285,0.05330376751028763,-0.6992091164214644,0.024857036856985683,0.09013761467889908,0.06090239955454245,ROA
CONSTRUTORA TENDA S.A.,71.476.527/0001-35,-0.031492603501000985,-0.0234796011829922,-0.035202346889399806,0.012562663118846854,0.02509037246476559,0.06015097790585108,0.10219673069652176,0.11053075261601694,0.06940471537819762,-0.06587855214922338,-0.2126295513677462,ROA
COSAN S.A.,50.746.577/0001-15,0.1881111384625158,0.025581504734092226,0.018132016638664636,0.03754823410629762,0.06457108312844914,0.07926182094699907,0.09045338835684856,0.11653443058244609,0.041672066104479405,0.18121899882328707,0.029324610263842997,ROA
CPFL ENERGIA S.A.,02.429.144/0001-93,0.16831045096442043,0.1117330295044787,0.11410726751793969,0.09665787521865472,0.10112118535892613,0.1246612300034828,0.19041901917791285,0.1965108569287162,0.23873062883059998,0.31181494823648365,0.28976076204857715,ROA
CPFL ENERGIAS RENOVÁVEIS S.A.,08.439.659/0001-50,0.0017392314908513612,-0.010516955233604951,-0.025775604055345822,-0.008193282432363698,-0.020015923029729314,0.0014309501152398305,0.012449726072755423,0.011154828600773662,0.07436299213418548,0.14443495493403868,0.13326413671025228,ROA
CPFL GERACAO DE ENERGIA S.A.,03.953.509/0001-47,0.06914462418080126,0.04190145962995282,0.002814621222847921,0.040189202719204266,0.05700384101085516,0.10088104013649932,0.13064097428773533,0.1597251780353488,0.19394253761839833,0.23344016182455266,0.3257369219522423,ROA
CRUZEIRO DO SUL EDUCACIONAL S.A.,62.984.091/0001-02,,,,,,,,0.1397808302822423,-0.040177370277776174,0.041941604828226745,0.003410449625914048,ROA
CSN MINERAÇÃO S.A.,08.902.291/0001-15,,,,,,,,0.23091576294694416,0.20550839863788758,0.2360545518274225,0.11870586021410845,ROA
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,06.981.381/0001-13,,,,,0.0021794842128403003,0.01541408043219945,0.01815597977452529,0.030389511709820537,0.02464944049037018,0.12825873719607503,0.1444742011510239,ROA
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,02.998.611/0001-04,0.10550770567446902,0.004836104082668125,0.05627301716154804,0.07366922789777118,0.33775801210346246,0.08309507983477521,0.10579176024639324,0.0926782962404958,0.14246447513849853,0.10774194635287358,0.07233426192750571,ROA
CURY CONSTRUTORA E INCORPORADORA S.A.,08.797.760/0001-83,,,,,,,,0.2094279731675641,0.18720097225488164,0.25024899421365,0.22926687558075126,ROA
