"DENOM_CIA","CNPJ_CIA","ANO","ROA","LC","CTPT","ME","ML","Empresa","IPCA","PIB_per_capta","cambio","divida_liquida_pib","SELIC","SELIC_over","Pais_k","Ano_t"
"BIOMM S.A.","04.752.991/0001-10",2012,-1.60645307884572,0.0856375311230507,-1.40018185951353,NA,NA,"11",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BOMBRIL S.A.","50.564.053/0001-03",2012,-0.0238658246987327,0.991959220530354,-53.102538550299,0.0596969100410152,-0.0241827311961109,"12",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BR MALLS PARTICIPACOES S.A.","06.977.745/0001-91",2012,0.162296919806179,0.312756184034914,0.311364135342415,24.0709327798916,20.0852646143203,"13",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BR PROPERTIES S.A.","06.977.751/0001-49",2012,0.11476572027012,1.01907977493903,0.334263085728903,51.0875196500581,41.5692365525255,"14",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BRADESPAR S.A.","03.847.461/0001-92",2012,0.0449647873906904,0.8585990650148,0.138048451404494,NA,NA,"15",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS","07.628.528/0001-59",2012,-0.00808986545444514,2.00009612611747,0.232204705815002,-0.0354605450124728,-0.0439862325933879,"16",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BRASKEM S.A.","42.150.391/0001-70",2012,-0.020666651534815,0.836932571081647,3.10184455921063,0.141853555228163,-0.0354332086224945,"17",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BRAZILIAN FINANCE E REAL ESTATE S.A.","02.762.113/0001-50",2012,-0.0202379519604547,4.58137100994244,0.0135031305684066,NA,NA,"18",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BRB BCO DE BRASILIA S.A.","00.000.208/0001-00",2012,0,0.758671493668447,NA,0.197085351447304,0,"19",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BRF S.A.","01.838.723/0001-27",2012,0.0265927722577662,1.09280910036341,1.10342842136425,0.101064446007347,0.0570635037750689,"20",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"CAMBUCI S.A.","61.088.894/0001-08",2012,-0.0510727051076852,1.49040009257993,7.26052406233944,0.0496133962485452,-0.0555635753403647,"21",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"CCR S.A.","02.846.056/0001-97",2012,0.293423802866351,0.598668597101363,0.182639948210047,7.92334331847739,8.5181120771535,"22",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"CEMIG GERACAO E TRANSMISSAO S.A.","06.981.176/0001-58",2012,0.158917353306215,0.864612346009641,1.23411097871673,0.698361705777737,0.413686748213558,"23",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"CENTRAIS ELET BRAS S.A. - ELETROBRAS","00.001.180/0001-26",2012,-0.0674553022265376,1.90252948285202,0.520146064755136,-3.41048912066175,-2.47398525445064,"24",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
